date_added,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2020-08-13T16:32:18Z,0.651,0.663,0,-5.569,0,0.0281,0.228,0.0,0.0994,0.465,102.0,audio_features,4llK75pXNWZz6KAho2Gp16,spotify:track:4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/tracks/4llK75pXNWZz6KAho2Gp16,https://api.spotify.com/v1/audio-analysis/4llK75pXNWZz6KAho2Gp16,259453,4
2020-08-10T18:17:05Z,0.639,0.569,0,-7.236,0,0.0487,0.0581,0.000169,0.108,0.616,142.967,audio_features,3gzIK2dGSVvPBiohsTwEWZ,spotify:track:3gzIK2dGSVvPBiohsTwEWZ,https://api.spotify.com/v1/tracks/3gzIK2dGSVvPBiohsTwEWZ,https://api.spotify.com/v1/audio-analysis/3gzIK2dGSVvPBiohsTwEWZ,226781,4
2020-08-10T16:41:25Z,0.718,0.483,8,-6.596,1,0.0381,0.387,0.000208,0.124,0.29,103.997,audio_features,04NMWz4ctkuILV6mUR2iWp,spotify:track:04NMWz4ctkuILV6mUR2iWp,https://api.spotify.com/v1/tracks/04NMWz4ctkuILV6mUR2iWp,https://api.spotify.com/v1/audio-analysis/04NMWz4ctkuILV6mUR2iWp,209132,4
2020-08-10T16:41:23Z,0.566,0.586,11,-7.726,1,0.0372,0.0171,0.0,0.202,0.428,147.942,audio_features,3bsRMvQja4huvPWo1S5ONc,spotify:track:3bsRMvQja4huvPWo1S5ONc,https://api.spotify.com/v1/tracks/3bsRMvQja4huvPWo1S5ONc,https://api.spotify.com/v1/audio-analysis/3bsRMvQja4huvPWo1S5ONc,203853,4
2020-08-10T16:36:44Z,0.599,0.374,10,-8.896,1,0.0385,0.495,0.0,0.221,0.224,119.9,audio_features,2NWVdwbd2hPIzC2lyf4y63,spotify:track:2NWVdwbd2hPIzC2lyf4y63,https://api.spotify.com/v1/tracks/2NWVdwbd2hPIzC2lyf4y63,https://api.spotify.com/v1/audio-analysis/2NWVdwbd2hPIzC2lyf4y63,198515,4
2020-08-10T14:12:00Z,0.839,0.848,6,-3.873,0,0.118,0.0568,0.0203,0.0872,0.64,129.957,audio_features,5DJY7EBDjDnMVaNIUQEujD,spotify:track:5DJY7EBDjDnMVaNIUQEujD,https://api.spotify.com/v1/tracks/5DJY7EBDjDnMVaNIUQEujD,https://api.spotify.com/v1/audio-analysis/5DJY7EBDjDnMVaNIUQEujD,229004,4
2020-08-08T19:59:04Z,0.621,0.517,6,-9.541,0,0.0501,0.827,0.0,0.0918,0.666,155.953,audio_features,4pqAh8326pxV8WRLWFWjCi,spotify:track:4pqAh8326pxV8WRLWFWjCi,https://api.spotify.com/v1/tracks/4pqAh8326pxV8WRLWFWjCi,https://api.spotify.com/v1/audio-analysis/4pqAh8326pxV8WRLWFWjCi,228453,4
2020-08-08T16:40:15Z,0.683,0.94,11,-2.859,0,0.0721,0.208,0.0,0.113,0.825,106.013,audio_features,1VWBe5VxG2ITQLn4DdVG4f,spotify:track:1VWBe5VxG2ITQLn4DdVG4f,https://api.spotify.com/v1/tracks/1VWBe5VxG2ITQLn4DdVG4f,https://api.spotify.com/v1/audio-analysis/1VWBe5VxG2ITQLn4DdVG4f,226031,4
2020-08-07T03:42:20Z,0.695,0.724,11,-5.706,0,0.0798,0.035,0.0,0.494,0.577,120.008,audio_features,1GcmDO1RsHCsZE5s72uulk,spotify:track:1GcmDO1RsHCsZE5s72uulk,https://api.spotify.com/v1/tracks/1GcmDO1RsHCsZE5s72uulk,https://api.spotify.com/v1/audio-analysis/1GcmDO1RsHCsZE5s72uulk,250528,4
2020-08-06T20:32:17Z,0.654,0.747,3,-9.995,0,0.0333,0.000193,0.000617,0.0679,0.412,125.127,audio_features,1969tYmpanCgepRPfF7eTv,spotify:track:1969tYmpanCgepRPfF7eTv,https://api.spotify.com/v1/tracks/1969tYmpanCgepRPfF7eTv,https://api.spotify.com/v1/audio-analysis/1969tYmpanCgepRPfF7eTv,323454,4
